
 Avg. Latency per case 
 avg cn1  avg cn2  avg cn3  avg cn4  avg cn5 
   204.9    519.6     39.5   1197.6   1047.8 
    15.1     55.0    509.8    200.7    519.4 
   598.8    108.9      6.0   1050.0   1007.8 
   501.4   1199.2    109.5    509.5    102.0 
  1048.9    693.5     60.0    299.1     14.9 
  1002.4    505.0     68.9    537.6    694.5 
  1002.0    201.9    547.7   1012.0   1004.7 
   104.8    253.5    201.9     54.9   1001.4 
    20.2    290.1    121.2     15.0   1006.8 
   509.0     60.0    996.5    217.5   1001.0 
  1001.0     99.9     52.0    519.4    202.0 
  1049.7    201.3   1065.9   1019.4    109.8 
   548.9      7.0    530.7   1053.2   1001.2 
   501.2    119.7   1002.2   1011.8    694.9 
   298.9      6.2   1190.7    118.6    550.0 
   298.6     51.9    510.0   1096.7    104.9 
   693.3      6.0     11.9    250.0    102.0 
  1130.2   1201.5   1009.3     52.0    698.3 
   298.5    122.4   1004.8    697.4   1058.2 
   102.0   1001.0   1478.5    502.1   1497.2 
   695.6    250.0    516.8     29.9   1013.0 
    21.0    120.6    501.3    548.7      6.0 
    14.8    700.0    502.2   1004.9     24.5 
  1026.8    505.0    219.5    101.0      5.9 
   548.1    705.8   1485.5    249.2      4.0 
   109.6    700.0    689.5    691.2   1095.2 
   220.6    598.1      9.7    549.0   1992.3 
   501.0    541.7    396.1    500.1     24.0 
   597.6    243.7    500.3     69.3    105.0 
    11.1   1458.5   1049.4   1000.1    968.3 
  1099.8    205.0    209.8    547.2   1000.2 
  1007.1    688.2    502.1   1014.3   2001.2 
   149.2   1018.2    519.4     59.6    209.8 
  1942.4    546.0   1495.2     25.0     18.9 
   502.6     20.0   1002.4    693.5    989.3 
    51.0    505.0    201.0    219.0   1002.0 
    69.4    502.2    104.8   1004.9   1012.8 
    69.6    219.6    504.9   1488.3   1460.7 
    67.0    148.0   1045.7    674.4   1009.5 
  1496.6    546.9    597.4      6.9     19.2 
  1005.0    501.0   1021.3    216.8    501.0 
  1018.1    101.1   1019.9    596.0   1493.5 
  1009.5   1028.7   1496.2    206.5     54.0 
   518.7     60.0     22.2   1033.5    578.0 
   500.5    110.4     56.7     54.8     25.0 
   501.0     52.1   1188.2   1011.7   1084.0 
  1915.6    991.6     54.6    102.1   1007.4 
    39.6    203.5    511.1    557.7   1014.4 
  1004.9      3.0    998.0    202.0     51.0 
   996.1    696.1    599.5   1479.0   1008.7 
   204.9    216.8    109.7      6.0    151.2 
   150.6    505.0     21.5   1998.1   1000.5 
    52.0   1045.5    200.4     21.9     55.0 
   219.0    996.4     40.2    249.7   1002.6 
  1080.0   1106.5   1096.4   1005.7    504.7 
   507.6     13.9    505.0     29.9   1488.9 
   217.0   1000.2      6.0   1456.3    202.1 
    14.9    205.1    519.8     39.9   1100.0 
   210.0    501.9    599.8    101.0   1471.3 
    68.1   1004.9     14.9     11.0     29.9 
   198.9   1163.4    101.0    203.0     15.0 
   690.7   1009.8    219.3   1049.8    519.4 
  1199.0   1054.2    118.3    218.7     68.1 
   201.1     24.0   1007.7     30.0    109.7 
   521.6   1000.8   1488.7    102.0    508.4 
   101.0    294.4    142.7    204.7   1001.0 
    52.9    102.2   1002.0    210.1   1977.8 
   101.6    504.8   1001.0   1001.5    221.5 
   679.3   1050.3   1469.8     11.9     20.0 
    24.7     59.8     59.9    519.7    593.8 
   199.6   1000.5   1500.4    606.9   1496.2 
   101.9   1497.1    538.6     69.9    298.3 
   501.0     55.2    500.3   1009.8   1020.7 
   506.8     40.0    992.7    110.0    588.1 
   101.0    697.4   1010.0   1455.9   1001.0 
   202.0    101.3    219.9    534.0   1986.5 
   599.6   1047.8     69.6   1982.2     29.6 
