
 Indiv Chain Sum of Exe. 
  chain 1  chain 2  chain 3  chain 4  chain 5 
     1.0      0.3     11.8     13.2     23.7 
     9.0      2.3      4.3      5.1    134.9 
    55.4      1.5     15.3      2.8      9.5 
    14.3      5.6     21.1      4.8      0.2 
    20.4      0.2      5.2      5.6      3.9 
     5.8      7.7      4.3     16.7      0.5 
     0.2     11.0      1.4      6.9      1.3 
    18.4     86.6      5.9     14.2      0.8 
     0.6      4.2     18.3     34.0      0.1 
     6.1      4.3      0.2     17.3      4.3 
    26.3      1.1      2.7      1.1      2.0 
    19.4      0.1     30.9      3.9      0.9 
     0.5      0.6     14.5      4.1      0.1 
     1.5     11.6      0.3      3.1      9.6 
    15.1      1.1      4.7      1.0      1.4 
    37.6      0.3      0.8      4.0     38.9 
     1.7     60.5     24.4      2.4     12.8 
     9.2      0.3      2.0      2.0     19.4 
    12.9     23.7      0.3      2.9     22.1 
    10.5     17.3     31.3      6.1     26.8 
     7.5      8.9      0.6     29.5      6.2 
    18.6     15.7      4.0      4.1     24.8 
     8.9     14.4      0.1      1.1      2.9 
     6.1     23.9      9.7      0.2      4.7 
     0.3      2.7      5.8      0.4     22.6 
    17.7     23.3     15.0     23.7      2.1 
     0.0      1.7     23.7      4.4     16.5 
    20.2      0.2      1.6      6.4     38.2 
     3.3      7.5      9.9      5.1      4.4 
     7.5      2.3      1.4      6.0      1.5 
     3.4      4.2      8.9     76.9      5.1 
     0.6      0.0      1.5     47.9      4.3 
     0.1      1.6     10.5      3.2      4.2 
     1.3      6.3      3.6      0.8      0.3 
     2.0      3.9      2.6      0.4      0.5 
     9.1     19.5      3.4      5.6     17.0 
    63.2     11.5      3.9      0.7      1.8 
     1.1     12.5      2.4     12.0      9.0 
     1.8      0.2     15.9     14.5      0.2 
     1.0      0.2      0.7      0.5     12.0 
     1.5     29.4     20.7     11.2     19.9 
    71.0     27.4      7.4      1.2      6.7 
    11.2      2.8      2.5     21.6     25.0 
    99.0      1.3     36.9      4.8     20.4 
     0.7      1.8     53.9     38.3      7.7 
    28.1      1.4     21.4      0.6      1.3 
     5.1      0.3      2.4      5.6     10.9 
     7.2      6.1      1.1     12.6     31.5 
    30.1      0.7     21.1      9.4      0.9 
     8.8      3.3     26.1      7.5      1.3 
    30.2      1.0     19.0     15.3     17.3 
     2.1      0.4     13.6     23.0      1.4 
     9.2     71.9      1.3      1.5     13.8 
     2.3      9.8     16.5      0.1      3.5 
    13.4      9.4      0.4      6.5      1.0 
    30.1     13.0     15.1     13.5     42.3 
     2.2      0.6      0.6      2.9     52.6 
     0.9      1.2     31.9     14.9      0.6 
     3.4      1.2      6.3      0.6      2.6 
     5.0     17.9      0.6      4.2      0.6 
     3.3      4.1      0.8      6.7     34.8 
    24.8      1.6      2.7      6.3      0.5 
     6.3      3.1     16.3      3.1      8.3 
    28.7     14.3      4.1     35.1      0.3 
    28.1     36.7      0.7      1.1      0.8 
     2.2     28.3     16.5     18.7      6.1 
    16.5     10.9      0.6      0.5      4.1 
    37.5     13.3      1.0      0.2      0.1 
     0.4      6.3      0.8      0.2      1.6 
     2.3      2.5     31.9      4.1     18.7 
     6.8      0.2      2.6     51.8      5.6 
     0.6      0.2      3.2     92.0      0.6 
     1.6      0.7      1.4      5.5      3.2 
     6.2      0.2      0.8      2.1      4.2 
     5.7      4.5      4.9      0.9      9.3 
     0.4     11.1     11.9      0.7     12.4 
    53.0      3.5      0.9      0.3     14.2 
     0.1      0.2      3.4      0.8      5.0 
     8.4      4.4      4.6     14.6      0.2 
     2.0     10.8      3.2      2.1     34.8 
     9.0     15.9      6.2     11.7     25.1 
     4.8     19.6      3.2     72.0     29.5 
     3.2      0.6     20.9     44.6      8.7 
    19.5     26.3     16.9     44.4      4.2 
     0.4     25.4      0.1      4.3      4.0 
     7.6      2.2     54.6      0.0      6.7 
     0.1      2.3      1.4     22.8     16.0 
     1.7     18.2      0.8      1.8      3.9 
     0.6     22.2     77.5     14.7      6.1 
     1.3      2.3      0.0      6.2     15.1 
     8.7     23.4      0.1      1.7      8.5 
    25.6      6.5      0.6      3.9     28.0 
    12.0      8.9     11.6      3.4      8.1 
     1.8      2.6      0.7     55.1     30.2 
    12.7      7.4      5.6     39.3      0.7 
     9.9     34.1      0.6      3.5      0.4 
    31.9     34.0     12.8      1.8     28.1 
    11.6      0.2     19.4     15.2      0.2 
    21.6      1.8      0.2      4.6     11.5 
    18.5      9.2      3.6      2.1     38.6 
     0.6      0.5     20.2     26.1      2.8 
     3.8      7.6     23.9      5.9      0.6 
     0.3      0.9      7.9     11.4      5.9 
     2.5      4.9      0.2      3.6      1.7 
     4.9     10.3      1.0     17.6      0.0 
    19.6      7.6      1.7     44.0      0.5 
     1.2      5.4      0.6      3.6      5.3 
     8.7      8.5      6.8      4.7     22.3 
     0.9    115.1     10.5      0.5      7.9 
     1.9      0.1      7.1      2.4      7.7 
     3.4     65.4      3.0      3.9      0.3 
    27.6      4.4     10.7     10.3      0.6 
     1.5      2.1      5.0     18.1      0.1 
     2.4      7.2      1.1      6.5     11.8 
     1.1      0.6      0.0     31.0      6.4 
     3.1     13.5      3.8     18.9      1.7 
    12.7      0.7      9.8      1.9     14.9 
     3.0     98.6      6.5      1.8      5.4 
    16.9      2.1      7.7      0.4     19.4 
     6.1     12.9      5.0     37.4      9.3 
     6.3      9.5     38.0     18.8      4.0 
     4.9     29.1      8.9     21.5      2.1 
     5.4     15.5      2.5      4.5     18.4 
     0.3      1.1      0.5      0.5      4.7 
     0.3      3.5     29.5      1.3      8.0 
     2.4      6.5      4.0      0.2      4.8 
     0.1     92.4      0.3      1.2      0.1 
    62.4      7.4     42.0      0.4      5.1 
    20.7      8.2      1.8     15.9      3.4 
     1.5      0.8     25.4      0.4      9.6 
     0.6     32.9      3.7     19.2     15.2 
    47.3     32.8      1.2      6.4      3.4 
     5.4     16.6      0.5     11.1      0.9 
    36.8      1.7      1.2      5.7      0.2 
     0.1     10.5      2.9      0.4      9.5 
     3.3      6.1      0.9      4.1      0.4 
    23.6      0.2      3.7      0.6      3.7 
    25.3      0.8      0.6     20.2      2.5 
    15.9      6.0      0.7     15.4      0.8 
    45.6      1.7      0.1      1.9     24.5 
     6.1     37.9      9.2     17.9      1.0 
     3.1      0.6     34.1      1.3     21.6 
    12.2      6.4     46.6     11.0      0.4 
     0.9     28.4      0.7     15.3      2.4 
    21.5      5.9      5.5      0.7     58.8 
    10.2      6.3      0.8     10.0     16.8 
     5.5      8.5     11.5      1.6      3.8 
     9.9      0.1     12.1      0.5      0.1 
     1.2     29.9      9.4      2.1     27.0 
    24.9      0.4      2.5      1.6      0.1 
     1.4      0.1      7.2      1.4      1.0 
     0.4      0.3      6.4      9.7     64.0 
     5.7     28.0      3.1      5.1      1.1 
     2.9      1.8      7.6     12.2     33.9 
     9.0      0.7     31.3     23.9     23.6 
     1.0      4.0     37.0     22.2     25.9 
     1.6      0.6      5.6      2.3      5.9 
    39.6      0.8     10.8      1.7      2.4 
    28.2      0.5     13.3      1.4      0.4 
    37.9      2.7     87.3      0.1      7.8 
     7.8     16.6      4.3      3.9      1.2 
     9.8     19.1      3.0      1.3     23.4 
     6.3      1.0      3.0     15.5      3.2 
    10.4     21.0      2.7      7.7      3.7 
     0.2      0.8      2.2     11.1      1.0 
    47.7      5.7      4.5      5.3      2.5 
     2.5     10.4      0.1      2.2      3.3 
    10.1      0.3      3.8      1.1      0.8 
     7.4     22.6      0.7      1.5     46.1 
    21.4      0.4      3.3      8.1     48.9 
     0.7      9.4     15.0     15.6      0.4 
     0.7     30.3     17.3      1.7      0.4 
    16.2      2.9      4.0     19.9      5.1 
     0.9      3.9      0.5      5.4      0.1 
     2.9      0.9     40.2      7.4     26.7 
    39.0      4.6     15.0      9.2      1.9 
     3.2      2.0     33.9      4.5      0.0 
     6.0     30.6      0.1      4.9      1.7 
     2.7      0.3     17.4      0.7     19.0 
    53.1      2.6     30.0      3.1     26.1 
     2.5      1.6      0.2     13.2     11.0 
    12.0     17.5      1.1      0.3      0.4 
     1.2      0.3      2.4      6.0      2.6 
     5.0      0.9      2.2      7.0      0.2 
     1.5      0.2      1.7      2.5      0.3 
    13.6      0.3      1.9     65.0     41.5 
     9.7     40.7     13.0      3.3      1.2 
    16.4    105.5      1.7      6.0      2.3 
     0.8      9.0      3.7      0.2      0.6 
     1.6     42.2      2.9      0.4      0.9 
     8.9      1.9     14.5      0.3      3.2 
    48.3     34.7      0.9      0.4     13.7 
     2.6      2.5      1.7      0.4      1.9 
     5.2     13.7     29.1      0.3      0.8 
    10.1      7.8      5.0     13.3      3.9 
    15.8      0.7      5.1      1.9      7.1 
    12.7      0.1      4.7      7.2      8.9 
     4.0      0.9      7.5      5.4     59.7 
     4.0      9.7      0.8      6.9      7.3 
    16.4      3.4     29.7      1.8     20.6 
     0.6     22.2      0.9      0.7     21.4 
     5.9     43.9      2.2      0.2      0.3 
     1.1      6.9     24.8      1.5     20.3 
    44.7      2.9     11.1      9.0      4.7 
     3.7      2.4      7.1      5.3     47.1 
     0.5     16.3      6.7      4.1     53.8 
    20.7      1.9     25.8     16.1      1.1 
     6.0      1.3      0.5      0.4      3.9 
     4.3      3.6      3.3      0.1     25.7 
    25.9      3.7      3.8      4.2      1.9 
     5.2      1.1      0.1      0.4      0.7 
     3.5     14.1      8.5     11.3      1.6 
    16.9     84.4     11.5     10.2      5.7 
    25.3      9.8      4.7      1.2      3.7 
    14.1      1.7      0.4      9.8     59.6 
     3.2      6.0      4.1     24.0      5.5 
     1.5      5.9      1.0     56.6      0.3 
    44.0      2.1      0.8      0.3      2.6 
     0.7      2.0      2.4      1.7     54.9 
     1.5      0.6    137.8      0.3     10.8 
     0.7      0.1     11.9      2.8      4.0 
     0.1     21.6     16.6      0.2     38.3 
     0.5     52.7     10.5     16.3      0.8 
     4.9     19.5      8.5      0.5      5.2 
     4.4     23.3      2.8      3.8      0.3 
    17.2      9.9      3.0     18.2      2.4 
     8.5     34.4     31.8      0.6      1.5 
    31.3     29.1      6.1     46.0      4.0 
    11.9      6.7      2.7     30.0      9.0 
    10.5      3.2      4.5      0.4     20.1 
     9.8     14.4      0.5     24.3      0.7 
    63.2      3.3      3.2      0.0      0.9 
     7.0     21.3      0.1     12.2      3.8 
     1.0      8.1      7.1      0.4     19.0 
     0.4      2.2      0.6     10.9      3.1 
     4.1      7.8      0.3      5.0     39.5 
     3.1      1.3      6.0     13.5      2.8 
    14.0      2.9     31.9      3.1     26.9 
    24.7      6.6     15.0      3.4     27.9 
    43.5     30.5     27.9      1.2      2.7 
    20.5     18.1      0.4      7.0      3.3 
    33.9     19.7     12.1      0.1     34.4 
     1.5      0.3     22.9      3.6      0.4 
     1.2      4.1     21.1      0.1     16.6 
     0.2      1.6      2.1     18.7      7.9 
    25.5      9.8      1.6      5.8     11.1 
     0.2     54.1      2.6     42.5      0.6 
     5.7     17.7      0.6      4.8      1.9 
     7.4      2.1      7.5      0.3      7.3 
    21.4     43.9     46.9      4.2      8.8 
    25.8      7.0      2.4     42.4      1.3 
    12.0      0.7      1.0      5.0      3.3 
     3.4      0.4      2.6     15.7     24.7 
     7.0     24.6      9.9      7.5      9.5 
    12.1     15.2      2.4      8.1     34.0 
     0.5      2.5      6.5      5.2     14.5 
     1.1     18.1     23.2      3.8      0.6 
     2.0      1.1     54.3     27.7      0.2 
     0.1     38.7     63.8      1.3      0.9 
     5.4      0.1      8.1      0.1     51.6 
     3.6      2.3      8.8      8.2      2.3 
     0.3      4.7     21.0     77.1      0.8 
    12.5     13.9     25.7      0.8      0.9 
     1.9      9.3     28.8      9.6      0.4 
     2.5      0.5     36.2      2.2      5.8 
     5.3     13.3      1.2      1.2     22.7 
     0.8     36.4      6.9      9.0      0.8 
     6.9     30.5     17.9      3.4      1.2 
    30.4      0.8      4.4      2.3      1.9 
     7.8      1.0     32.2     50.1      0.6 
     0.7     20.3      8.0      3.7      1.1 
     0.5      0.5      1.5      2.0      9.3 
    11.7     13.7      1.6     38.3      9.4 
     9.1      0.2      3.1      1.2     62.0 
     0.1      1.1      1.2      0.4     18.2 
     0.8      7.7     20.5      9.5     41.4 
    44.1     20.5      4.9      4.5      2.5 
     4.9      0.1      6.0      0.1      1.4 
     7.5      1.7      5.3     27.4     25.5 
    12.2      0.1      4.4      1.0      1.8 
     0.1     10.1     10.8     29.9      5.6 
    17.6      5.9      6.6      9.4      0.6 
     0.4     10.6     47.4      2.5      0.5 
     0.8     26.7      0.6     12.5     18.4 
     0.9      0.9      9.2      0.4      5.2 
    11.5      8.7      1.0      7.2      2.8 
     2.9      0.4      0.2     93.8     12.1 
     1.5      2.3     24.5     37.2      0.1 
     3.6      6.6     26.1      8.0     31.3 
    12.9      0.5      2.6     11.6      1.1 
    32.4     10.9     12.4      3.7     32.5 
     2.0      2.0      5.7     31.5      1.0 
    11.3      2.5      7.7      2.7      0.6 
    14.1      0.0      7.4     12.5      5.9 
    86.8      1.0     15.8      2.1      4.9 
     2.8      4.3      3.5     14.0      0.5 
    33.2      3.7     10.6      0.2      4.5 
     0.6      1.7     36.9     10.5     37.8 
     0.6      6.8      1.4      2.9      3.2 
     0.1      4.0     64.2      1.9      1.3 
     1.9     17.5      1.5     17.1     16.1 
     3.7      5.6     22.0     17.6     23.0 
