
 Count of not schedulable tasksets: 57 
 Mean of utilization:    0.549 
 Median of utilization:    0.547 
 Indiv. Chain Reaction time and WCRT in multi-chain model without deadline miss termination 
  chnPrio   ReactT     WCRT   origID 
      38 4378.584 2189.292       38 
      39 4378.594 2189.297       29 

Min. utilization: 0.485 
       1    2.148    0.148       12 
       2    3.148    1.148        5 
       3    3.312    1.312       22 
       4  262.740  131.370       11 
       5   18.678    8.678       36 
       6   19.169    9.169       21 
       7   23.741   11.871       32 
       8   27.650   13.825       39 
       9  411.182  205.591       42 
      10   51.652   25.826       28 
      11   53.722   26.861       17 
      12  231.183  115.592       44 
      13   57.465   28.732       24 
      14  250.334  125.167       38 
      15   59.915   29.957       30 
      16   67.699   33.850        3 
      17 4935.375 2467.687        8 
      18   70.532   35.266       29 
      19   71.015   35.507        4 
      20   71.447   35.723       41 
      21  137.611   68.806       16 
      22  138.108   69.054       35 
      23  138.217   69.108       31 
      24 5894.945 2947.473       20 
      25  139.282   69.641       13 
      26  147.437   73.719       37 
      27 6235.526 3117.763        6 
      28  339.504  169.752       15 
      29  339.756  169.878       14 
      30  347.856  173.928       18 
      31  349.860  174.930       27 
      32  674.284  337.142        7 
      33 6433.740 3216.870       26 
      34  674.596  337.298       25 
      35  675.394  337.697        9 
      36  675.701  337.850       43 
      37  676.962  338.481       33 
      38  678.863  339.431       40 
      39 6517.246 3258.623       23 
      40 6517.274 3258.637        2 
      41 6517.301 3258.651        1 
      42 6517.325 3258.662       10 
      43 6517.350 3258.675       19 
      44 6517.375 3258.687       34 

Min. utilization: 0.462 
       1 2000.192    0.192        7 
       2    3.192    1.192        8 
       3    3.468    1.468       11 
       4    6.907    2.907        3 
       5    7.213    3.213        5 
       6    7.519    3.519       21 
       7  369.536  169.536       10 
       8   38.425   18.425       19 
       9  190.943   90.943       12 
      10   77.595   37.595        6 
      11   77.959   37.959        9 
      12   78.568   38.568       18 
      13   78.728   38.728       13 
      14   78.748   38.748       20 
      15   79.127   39.127        1 
      16  197.558   97.558       15 
      17  197.929   97.929        2 
      18  198.711   98.711       17 
      19  395.096  195.096       14 
      20  395.229  195.229        4 
      21 3939.848 1939.848       16 

Min. utilization: 0.367 
       1    2.503    0.503       22 
       2  134.209   67.104        9 
       3   34.832   14.832        8 
       4   59.587   29.587       16 
       5 2898.320 1449.160        5 
       6   36.771   16.771        6 
       7   36.987   16.987       17 
       8   37.942   17.942       19 
       9   37.998   17.998        1 
      10   75.591   35.591       24 
      11   75.742   35.742       10 
      12   75.868   35.868       14 
      13   75.990   35.990       23 
      14  346.420  173.210       21 
      15   77.106   37.106       13 
      16  189.884   89.884       11 
      17  191.220   91.220       27 
      18 3473.486 1736.743        7 
      19  191.828   91.828        3 
      20  192.619   92.619       12 
      21  378.902  178.902       18 
      22  378.962  178.962       28 
      23  379.074  179.074       15 
      24  379.126  179.126        4 
      25  379.178  179.178       20 
      26 3755.354 1755.354        2 
      27 3755.358 1755.358       26 
      28 3755.362 1755.362       25 

Min. utilization: 0.395 
       1  100.571    0.571        1 
       2   15.571    5.571        2 
       3 2100.955 1050.478       17 
       4   16.225    6.225       11 
       5 3077.073 1077.073       12 
       6   32.347   12.347        5 
       7   32.690   12.690       22 
       8  315.695  115.695       21 
       9   34.724   14.724       16 
      10   35.599   15.599       24 
      11   36.049   16.049       10 
      12  329.139  129.139       19 
      13   69.957   29.957       20 
      14   70.680   30.680        8 
      15   70.751   30.751       14 
      16   70.803   30.803       13 
      17 2554.502 1277.251       23 
      18   71.064   31.064       18 
      19   71.367   31.367        9 
      20  169.113   69.113       15 
      21  333.642  133.642        4 
      22  334.049  134.049        7 
      23  665.827  265.827        3 
      24 3304.638 1304.638        6 

Min. utilization: 0.628 
       1    2.185    0.185       13 
       2 3101.948 1101.948        1 
       3   15.816    5.816        4 
       4   15.865    5.865        9 
       5   31.567   11.567       16 
       6  231.387  115.694       12 
       7   32.863   12.863        8 
       8  138.731   58.731       11 
       9   64.855   24.855       14 
      10   64.945   24.945       10 
      11   65.073   25.073       17 
      12   65.242   25.242        2 
      13 3181.848 1181.848        5 
      14  160.930   60.930        6 
      15  319.468  119.468        3 
      16 3184.807 1184.807       15 
      17 3184.812 1184.812        7 

Min. utilization: 0.546 
       1    2.167    0.167       24 
       2  219.207  109.207       28 
       3    3.440    1.440        8 
       4   32.457   12.457       10 
       5    4.952    2.476        9 
       6    5.744    2.872       12 
       7   18.979    8.979       17 
       8 3649.291 1649.291       16 
       9  170.157   85.078       25 
      10  174.705   87.352        1 
      11  377.308  177.308       13 
      12   45.842   22.921       11 
      13   47.878   23.939        6 
      14   50.443   25.221        4 
      15  787.908  387.908       22 
      16   87.815   43.908       29 
      17   90.113   45.056       20 
      18  210.640  105.320       18 
      19  213.946  106.973       23 
      20  217.252  108.626       21 
      21  219.157  109.579        2 
      22  427.636  213.818       26 
      23  429.716  214.858        5 
      24  431.133  215.567        3 
      25  850.335  425.168       14 
      26  431.753  215.876       19 
      27  851.559  425.780       15 
      28 4173.987 2086.993        7 
      29 4174.013 2087.006       27 

Min. utilization: 0.656 
       1    2.134    0.134       48 
       2    3.134    1.134       14 
       3    3.287    1.287       20 
       4    3.439    1.439       29 
       5    3.592    1.592       42 
       6  179.790   79.790       13 
       7 3617.372 1617.372       26 
       8    7.044    3.522        8 
       9   11.132    5.566       47 
      10   22.425   11.213       22 
      11   26.123   13.061       24 
      12 4326.959 2163.480       43 
      13   30.719   15.359        3 
      14   34.332   17.166       27 
      15  115.842   57.921       40 
      16   70.646   35.323       45 
      17   75.874   37.937        1 
      18   78.738   39.369        2 
