
 Count of not schedulable tasksets: 3 
 Mean of utilization:    0.297 
 Median of utilization:    0.297 
 Indiv. Chain Reaction time and WCRT in multi-chain model without deadline miss termination 
  chnPrio   ReactT     WCRT   origID 
Min. utilization: 0.341 
       1   20.042    0.042       22 
       2 3002.128 1002.128       29 
       3   30.798   10.798       30 
       4   31.398   11.398        3 
       5   31.844   11.844        6 
       6   31.942   11.942       10 
       7   32.258   12.258       24 
       8   63.855   23.855        8 
       9   64.195   24.195        1 
      10   64.371   24.371       18 
      11   64.524   24.524       25 
      12   64.734   24.734       15 
      13   64.948   24.948       26 
      14  157.838   57.838       16 
      15  157.944   57.944       28 
      16  158.454   58.454        2 
      17  158.940   58.940       20 
      18  159.160   59.160       23 
      19  316.941  116.941       21 
      20  159.986   59.986        9 
      21  161.999   61.999       32 
      22  162.136   62.136       31 
      23  319.480  119.480       12 
      24  319.579  119.579       17 
      25 3164.491 1164.491       19 
      26 3164.496 1164.496        7 
      27 3164.502 1164.502       14 
      28 3164.507 1164.507       11 
      29 3164.511 1164.511        4 
      30 3164.514 1164.514       27 
      31 3164.517 1164.517       13 
      32 3164.520 1164.520        5 

Min. utilization: 0.219 
       1    4.023    0.023        3 
       2    6.023    2.023        2 
       3    6.110    2.110        5 
       4    6.198    2.198        7 
       5   22.855   10.855       14 
       6    7.241    3.241        4 
       7    7.313    3.313       13 
       8   33.631   13.631       17 
       9   35.311   15.311        1 
      10  302.459  151.230       12 
      11   72.867   32.867        6 
      12   73.047   33.047        8 
      13   73.231   33.231       16 
      14  178.002   78.002        9 
      15 3535.957 1535.957       10 
      16 3535.963 1535.963       15 
      17 3535.966 1535.966       11 

Min. utilization: 0.349 
       1    4.027    0.027       15 
       2    6.027    2.027       27 
       3   30.159   10.159        7 
       4   51.388   21.388        4 
       5    7.402    3.402       11 
       6    7.421    3.421       12 
       7   31.623   11.623        6 
       8   32.165   12.165       23 
       9  231.717  115.858        1 
      10   33.678   13.678       22 
      11   34.002   14.002       13 
      12   34.456   14.456       28 
      13   68.138   28.138       19 
      14   68.399   28.399       17 
      15   68.653   28.653        5 
      16   68.796   28.796       10 
      17   68.888   28.888       16 
      18   68.955   28.955        9 
      19 2596.696 1298.348       25 
      20   69.499   29.499       24 
      21  169.109   69.109       18 
      22  169.373   69.373        3 
      23  335.246  135.246       20 
      24  169.996   69.996        8 
      25  170.312   70.312       26 
      26  170.559   70.559       29 
      27  336.904  136.904       14 
      28  336.961  136.961       21 
      29  337.076  137.076        2 

Min. utilization: 0.357 
       1   20.190    0.190       10 
       2   30.190   10.190       14 
       3   30.468   10.468       11 
       4   30.819   10.819        2 
       5   32.031   12.031        6 
       6   64.411   24.411        3 
       7   64.460   24.460       12 
       8   64.560   24.560        7 
       9   64.783   24.783        9 
      10  314.391  114.391        5 
      11   65.216   25.216       16 
      12   65.384   25.384        8 
      13  315.499  115.499       13 
      14  315.952  115.952        4 
      15  316.202  116.202       15 
      16  316.419  116.419        1 

Min. utilization: 0.222 
       1    2.172    0.172        5 
       2    3.172    1.172       10 
       3    3.344    1.344       17 
       4  335.061  135.061       22 
       5  270.948  135.474       21 
       6  273.168  136.584        2 
