
 Ratio of chain completed per utilization 
     cn1      cn2      cn3      cn4      cn5 
  1.0000   0.6000   0.3700   0.2200   0.0900 
  1.0000   0.6300   0.3400   0.1600   0.0700 
  1.0000   0.5500   0.3400   0.1900   0.0500 
  1.0000   0.6200   0.2700   0.1200   0.0700 
  1.0000   0.6900   0.3300   0.2000   0.0700 
  1.0000   0.6600   0.3200   0.1400   0.0400 
  1.0000   0.7200   0.4200   0.2200   0.0700 
  1.0000   0.5500   0.2600   0.0800   0.0300 
  1.0000   0.5700   0.2500   0.0400   0.0100 
  1.0000   0.6300   0.2700   0.1300   0.0200 
  1.0000   0.5900   0.2200   0.1000   0.0200 
  1.0000   0.6100   0.2500   0.1000   0.0500 
  1.0000   0.5600   0.3100   0.1500   0.0900 

 Ratio of chain delayed per utilization 
     cn1      cn2      cn3      cn4      cn5 
  0.0000   0.4000   0.6300   0.7800   0.9100 
  0.0000   0.3700   0.6600   0.8400   0.9300 
  0.0000   0.4500   0.6600   0.8100   0.9500 
  0.0000   0.3800   0.7300   0.8800   0.9300 
  0.0000   0.3100   0.6700   0.8000   0.9300 
  0.0000   0.3400   0.6800   0.8600   0.9600 
  0.0000   0.2800   0.5800   0.7800   0.9300 
  0.0000   0.4500   0.7400   0.9200   0.9700 
  0.0000   0.4300   0.7500   0.9600   0.9900 
  0.0000   0.3700   0.7300   0.8700   0.9800 
  0.0000   0.4100   0.7800   0.9000   0.9800 
  0.0000   0.3900   0.7500   0.9000   0.9500 
  0.0000   0.4400   0.6900   0.8500   0.9100 

 Ratio of chain not-converged per utilization 
     cn1      cn2      cn3      cn4      cn5 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 

 Indiv. Chain WCRT in multi-chain model 
  chain 1  chain 2  chain 3  chain 4  chain 5 
     3.9     54.3   1074.0    558.5     49.1 
    36.6   1036.6    239.7    251.0    113.3 
    27.5   1030.7    534.4    545.0    172.5 
    11.2    522.4    218.1    137.3     41.4 
     1.4    205.5      9.8   1067.7   1104.2 
     0.7    202.1    532.8    561.1    258.3 
     4.1    208.1    210.5    215.5    239.6 
     2.0   1039.1     46.2    564.3    570.5 
    20.9    520.9     74.3    126.4    235.4 
     8.6   1017.2     30.7     16.1   1053.3 
    90.2    590.2    599.1    638.2    215.4 
     0.5   1020.2   1111.3    106.1   1139.4 
    24.2   1024.2   1054.8    277.5    128.0 
     2.6     12.8     53.9     15.7    219.0 
    23.7    123.7     74.4    532.9     64.9 
     2.6    505.2    208.6   1098.5     62.7 
    12.6     25.7    531.1    537.9   1094.8 
     0.5      5.5     22.1    216.2    553.4 
    10.0   1010.0     80.9     48.1    551.4 
    96.1    146.1   1105.3    308.6   1117.4 
     0.7     20.7    512.0    220.9    583.3 
     0.5     50.5   1054.5     61.9   1097.1 
    31.6     51.9   1087.0     85.5     46.2 
    12.8     17.8     65.1    544.8   1087.7 
    40.1    140.2     96.0     54.1    262.5 
     3.8   1026.4    105.1    310.1    312.1 
     8.7    208.9    512.3    218.2     42.3 
     3.3   1029.6     74.0    139.4    248.8 
     3.3    103.3   1026.0   1089.6     52.6 
    55.5     56.5    563.2   1146.6     74.5 
     6.5     26.8    538.7    224.2     28.7 
     1.3     51.3   1049.7     27.6     76.4 
     3.6     53.6    207.6    224.3   1103.6 
     2.2     22.2    206.0     35.6    119.3 
    57.6   1115.2   1137.7    140.1   1226.9 
     1.6   1068.4   1130.5     38.9   1155.6 
     0.7    202.9    573.3    138.4     46.1 
    97.7    117.7    103.9    122.8   1154.1 
     5.3    517.2    522.1     67.2    119.6 
     0.3   1001.9     61.9     18.2    599.1 
     1.4    204.2     69.6    564.5    587.9 
     1.2    501.3    225.4     98.4   1103.0 
    22.0    548.6    258.9     66.7    267.1 
     8.2     58.2    516.0    212.4    115.4 
     2.1     22.1   1027.5   1101.8     78.0 
    43.8   1043.8    561.4   1083.1    612.4 
     1.0    106.0     24.0     57.6    232.1 
    21.1     41.1     33.4    539.2     59.7 
    71.7    271.7    582.3     92.1    608.3 
    10.2    210.2    117.9   1139.1    246.1 
     0.1   1018.4    117.9    227.2    559.4 
     2.3   1002.3   1012.8     61.4    146.0 
     5.5   1011.2    519.9   1054.2    234.4 
     4.0    204.0    115.0     70.1    244.7 
    24.9     34.9    554.9    561.4    581.2 
     6.7    506.7    540.1   1089.8    150.1 
     0.4    505.4     18.7   1077.9    575.8 
     5.0   1005.0    531.5     83.5     83.9 
    19.4    519.5   1063.6     55.4    243.4 
     0.5      5.6     55.6     57.1   1064.0 
     8.0    523.9     19.8   1047.0    141.1 
     8.8     57.9     77.7   1064.9    177.8 
    22.2     60.3    110.1   1108.4    130.4 
     6.2    212.5    545.3    289.1    660.8 
    52.2    252.2    173.5     95.8   1123.4 
    70.2    170.2    576.3    134.9    105.6 
    81.3   1162.6   1199.6    139.4    145.5 
     3.7     53.7    519.8    625.4    270.3 
    54.5    104.5   1114.1    586.8    127.4 
     4.2      6.3    521.4    110.4    543.4 
     2.7     52.8   1011.2     20.9   1030.9 
     0.5   1013.7     65.2    147.9     69.5 
    18.5    218.5   1064.5    143.2     51.6 
    31.9    532.5    162.7     78.8     84.3 
     5.3    515.8    114.1     20.6     26.5 
    63.2    263.2    164.2     74.9    271.5 
    11.4     61.4     61.9     62.8    258.0 
    23.6     33.6     44.5   1106.7     99.2 
    74.5    274.6   1088.8     89.3    597.5 
     3.2      5.3    213.2     57.7   1071.0 
    34.7   1034.8    567.2   1119.6   1144.8 
     0.3   1024.2     33.6     43.1    249.2 
     0.8    204.5    103.2   1035.4   1174.2 
     0.3     20.3    101.4    537.3    107.7 
    24.9     44.9    546.8     37.3    583.0 
     1.2     51.3   1026.5    243.6    248.6 
     5.3     10.3    110.3   1070.0    570.7 
    17.5     37.6    218.8    539.6     76.8 
    19.2    520.0   1084.5   1104.7    270.7 
     7.5    522.5     77.2     49.5     81.1 
     5.2    526.0     41.7   1113.2   1167.1 
     6.8   1020.4     36.4   1042.5    572.4 
     1.0      6.1    517.1    524.7    248.8 
    23.4    227.9   1060.1   1121.7    674.2 
     2.9    102.9     13.9    511.7     55.0 
    22.8    523.0     64.1     79.0   1095.7 
    10.7     60.7    518.9     64.3   1191.0 
     0.4     50.9    214.9   1080.6    232.4 
     8.3   1021.1    520.9    521.4     41.3 
