
 Count of not schedulable tasksets: 77 
 Mean of utilization:    0.620 
 Median of utilization:    0.624 
 Indiv. Chain Reaction time and WCRT in multi-chain model without deadline miss termination 
  chnPrio   ReactT     WCRT   origID 
Min. utilization: 0.626 
       1    2.355    0.355        3 
       2   32.484   12.484       10 
       3  321.784  121.784       14 
       4   33.261   13.261        9 
       5   33.817   13.817        2 
       6   33.847   13.847        5 
       7   68.607   28.607       24 
       8   68.656   28.656        6 
       9   68.703   28.703       13 
      10   68.834   28.834       18 
      11   69.036   29.036       12 
      12   69.261   29.261        7 
      13  275.092  137.546       17 
      14  170.811   70.811       16 
      15  339.629  139.629       20 
      16 3379.245 1379.245       15 
      17  339.893  139.893       22 
      18  341.702  141.702       11 
      19  341.871  141.871       21 
      20 3384.367 1384.367        8 
      21 3384.371 1384.371       19 
      22 3384.377 1384.377        1 
      23 3384.381 1384.381        4 
      24 3384.386 1384.386       23 

Min. utilization: 0.782 
       1    2.185    0.185        1 
       2   15.555    5.555        5 
       3  155.922   55.922        6 
       4  117.045   57.045        9 
       5  314.754  114.754        3 
       6  157.787   57.787       16 
       7  158.395   58.395       10 
       8  158.596   58.596       14 
       9  317.142  117.142        2 
      10  317.206  117.206       15 
      11  317.309  117.309       13 
      12  317.627  117.627        4 
      13  317.809  117.809       11 
      14  634.305  234.305        8 
      15 3159.126 1159.126       12 
      16 3159.128 1159.128        7 

Min. utilization: 0.595 
       1    2.053    0.053        6 
       2    3.053    1.053       20 
       3   15.317    5.317        7 
       4   15.803    5.803       27 
       5   16.252    6.252       23 
       6   16.589    6.589       29 
       7   33.748   13.748       11 
       8 2626.365 1313.182       17 
       9   36.405   16.405        5 
      10   37.011   17.011       22 
      11   72.795   32.795       13 
      12 2836.917 1418.458       19 
      13   73.382   33.382        8 
      14   73.428   33.428       28 
      15   73.498   33.498       26 
      16  579.646  289.823       12 
      17   74.316   34.316       21 
      18   74.828   34.828       18 
      19  352.348  152.348       16 
      20 2949.233 1474.616       10 
      21  178.207   78.207        3 
      22  178.307   78.307        1 
      23  178.429   78.429       14 
      24  353.618  153.618        2 
      25  354.451  154.451       25 
      26  354.911  154.911        9 
      27  705.895  305.895        4 
      28 3497.755 1497.755       15 
      29 3497.759 1497.759       24 

Min. utilization: 0.619 
       1   20.447    0.447       12 
       2  205.363  102.681       11 
       3   30.967   10.967        4 
       4   31.510   11.510        2 
       5   31.657   11.657       13 
       6   32.234   12.234        7 
       7   64.380   24.380        5 
       8  156.863   56.863       14 
       9  264.238  114.238        8 
      10  314.690  114.690        6 
      11  314.809  114.809       10 
      12  314.915  114.915        9 
      13 3134.695 1134.695        3 
      14 3134.698 1134.698        1 

Min. utilization: 0.514 
       1    2.119    0.119       21 
       2    3.119    1.119        3 
       3    3.823    1.823       20 
       4  171.242   85.621       14 
       5   51.110   25.555       22 
       6   55.506   27.753        7 
       7  115.218   57.609        9 
       8  127.458   63.729       17 
       9  127.889   63.944       10 
      10  275.257  137.628        6 
      11  195.212   97.606        1 
      12  375.545  187.773        5 
      13  391.334  195.667        2 
      14 20599.190 10299.595       11 
      15  455.254  227.627       19 
      16  471.215  235.608       13 
      17 2315.986 1157.993       18 
      18 2379.683 1189.841       12 
      19 23659.819 11829.910        8 
      20 23659.869 11829.934        4 
      21 23659.902 11829.951       15 
      22 23659.948 11829.974       16 

Min. utilization: 0.876 
       1    4.077    0.077       20 
       2   42.460   20.460       11 
       3    6.787    2.787       12 
       4    6.812    2.812       19 
