
 Count of not schedulable tasksets: 2 
 Mean of utilization:    0.293 
 Median of utilization:    0.292 
 Indiv. Chain Reaction time and WCRT in multi-chain model without deadline miss termination 
  chnPrio   ReactT     WCRT   origID 
Min. utilization: 0.158 
       1   10.032    0.032        6 
       2   15.032    5.032       22 
       3 3006.391 1006.391       17 
       4  110.414   50.414       14 
       5 2038.091 1018.091       13 
       6   32.539   12.539        8 
       7   32.634   12.634        9 
       8   33.157   13.157       24 
       9   35.156   15.156        7 
      10   35.717   15.717       30 
      11   36.659   16.659        2 
      12   36.748   16.748       36 
      13   36.941   16.941       34 
      14   72.243   32.243       18 
      15   72.361   32.361       20 
      16  339.788  139.788       39 
      17  289.855  144.928       38 
      18   73.124   33.124        4 
      19   73.307   33.307       16 
      20   73.343   33.343       32 
      21   73.633   33.633       26 
      22  347.931  147.931       33 
      23  689.078  289.078       15 
      24 2829.092 1414.546       40 
      25  578.573  289.287       11 
      26  348.562  148.562       10 
      27  348.684  148.684       19 
      28  348.813  148.813       28 
      29  348.914  148.914        3 
      30 3418.539 1418.539       12 
      31  349.165  149.165       23 
      32  349.235  149.235       25 
      33  349.245  149.245       21 
      34  349.345  149.345       29 
      35  690.909  290.909       37 
      36 3425.097 1425.097       27 
      37 3425.100 1425.100        1 
      38 3425.105 1425.105       35 
      39 3425.108 1425.108       31 
      40 3425.112 1425.112        5 

Min. utilization: 0.199 
       1   21.724    1.724       13 
       2  310.347  110.347        7 
       3    6.736    3.368        8 
       4    7.290    3.645       11 
       5   34.584   14.584        1 
       6   35.844   15.844        4 
       7   74.305   34.305        9 
       8   74.507   34.507       12 
       9   74.881   34.881        5 
      10   75.064   35.064        2 
      11   75.238   35.238        6 
      12   75.412   35.412       10 
      13  369.131  169.131        3 
      14  369.414  169.414       14 

Min. utilization: 0.382 
       1   20.354    0.354        8 
       2   30.354   10.354        5 
       3   30.910   10.910        6 
       4   31.057   11.057        2 
       5  310.615  110.615       10 
       6  231.114  111.114        4 
       7   64.497   24.497       12 
       8  312.680  112.680       14 
       9  312.866  112.866       11 
      10  313.178  113.178        1 
      11  313.434  113.434        7 
      12  527.308  227.308        3 
      13  313.841  113.841       15 
      14 3126.578 1126.578       13 
      15 3126.607 1126.607        9 

Min. utilization: 0.348 
       1   10.059    0.059        8 
       2   30.119   10.119        3 
       3   30.505   10.505        1 
       4   31.132   11.132       11 
       5   32.947   12.947        4 
       6  325.493  125.493       12 
       7  165.026   65.026        2 
       8  165.113   65.113       10 
       9  326.325  126.325       13 
      10  326.766  126.766        5 
      11  327.112  127.112        6 
      12  327.242  127.242        7 
      13 3238.834 1238.834        9 

Min. utilization: 0.272 
       1    2.171    0.171       13 
       2    3.171    1.171       18 
       3   48.878   24.439        5 
       4  161.614   61.614       17 
       5  249.856  124.928       19 
       6   27.577   13.789       14 
       7    7.657    3.828       20 
       8  658.018  329.009        3 
       9 3291.710 1645.855        9 
      10   41.910   20.955        7 
      11 3341.480 1670.740       10 
      12   77.894   37.894        8 
      13   78.854   38.854       23 
      14  374.989  174.989       15 
      15   79.761   39.761       21 
      16  191.932   91.932       16 
      17 3741.368 1741.368       11 
      18  192.839   92.839        4 
      19  378.898  178.898       24 
      20  379.231  179.231        6 
      21  379.372  179.372        2 
      22  379.542  179.542       22 
      23  755.396  355.396        1 
      24  755.406  355.406       12 
      25 3755.933 1755.933       25 

Min. utilization: 0.417 
       1    2.139    0.139        6 
       2    3.139    1.139        9 
       3    3.321    1.321       14 
       4    3.503    1.503       17 
       5  176.723   76.723        4 
       6   35.721   15.721        5 
       7   36.783   16.783       19 
       8   37.026   17.026        1 
       9   73.287   33.287       15 
      10   73.380   33.380       16 
      11   73.490   33.490        3 
      12  183.846   83.846        2 
      13  183.984   83.984        7 
      14  185.281   85.281       18 
      15  185.606   85.606       10 
      16  369.606  169.606       12 
      17  369.733  169.733       11 
      18 3682.918 1682.918       13 
      19 3682.920 1682.920        8 

Min. utilization: 0.315 
       1    4.051    0.051       10 
       2    6.051    2.051       11 
       3   30.309   10.309        4 
       4   30.681   10.681       17 
       5   31.683   11.683       12 
       6   31.987   11.987        6 
       7  137.104   57.104        8 
       8   64.632   24.632       16 
       9   65.218   25.218       14 
      10   65.304   25.304        2 
      11   65.607   25.607       19 
      12   65.810   25.810        9 
      13  162.515   62.515        3 
      14  323.756  123.756       15 
      15  324.385  124.385        5 
      16  324.511  124.511       13 
      17  645.424  245.424       18 
      18  645.432  245.432        1 
      19 3208.518 1208.518        7 

Min. utilization: 0.288 
       1    4.077    0.077        1 
       2    6.077    2.077       25 
       3  104.317   52.158       11 
       4   30.553   10.553       22 
       5   31.206   11.206        2 
       6   32.385   12.385        3 
       7   32.849   12.849       12 
       8   65.619   25.619        5 
       9   65.881   25.881       17 
      10   65.991   25.991       10 
      11   66.243   26.243        4 
      12   66.538   26.538        7 
      13   66.699   26.699       14 
      14   66.761   26.761       15 
      15   66.808   26.808        6 
      16   66.848   26.848       23 
      17  164.508   64.508       20 
      18  164.521   64.521       18 
      19  164.535   64.535       21 
      20  326.474  126.474       19 
      21  326.617  126.617       16 
      22  326.962  126.962       24 
      23  327.431  127.431        9 
      24  327.644  127.644        8 
      25  328.173  128.173       13 

Min. utilization: 0.322 
       1    2.072    0.072        8 
       2    3.072    1.072       11 
       3    3.144    1.144        9 
