
 Count of not schedulable tasksets: 38 
 Mean of utilization:    0.486 
 Median of utilization:    0.489 
 Indiv. Chain Reaction time and WCRT in multi-chain model without deadline miss termination 
  chnPrio   ReactT     WCRT   origID 
       3   15.666    5.666       33 
       4   15.756    5.756       36 
       5   15.817    5.817       16 
       6   31.221   11.221        6 
       7   31.647   11.647       34 
       8   32.240   12.240       17 
       9   32.515   12.515       18 
      10   33.310   13.310       22 
      11   34.032   14.032        3 
      12   71.168   31.168       40 
      13   71.359   31.359       29 
      14 2776.167 1388.084       14 
      15   71.675   31.675       19 
      16   71.757   31.757       27 
      17   72.157   32.157        5 
      18   72.335   32.335       20 
      19   72.567   32.567       37 
      20  348.384  148.384       41 
      21   73.079   33.079       28 
      22  175.279   75.279       35 
      23 2908.938 1454.469       13 
      24  594.648  294.648        7 
      25  350.766  150.766       38 
      26  350.785  150.785       32 
      27  350.856  150.856       11 
      28  351.049  151.049       25 
      29  351.268  151.268       30 
      30  351.425  151.425       39 
      31  351.619  151.619        9 
      32  696.556  296.556        8 
      33  696.576  296.576       12 
      34  696.596  296.596       23 
      35  696.616  296.616       26 
      36  696.637  296.637       31 
      37  696.657  296.657        4 
      38  696.672  296.672       10 
      39 3468.431 1468.431       21 
      40 3468.434 1468.434        2 
      41 3468.438 1468.438        1 

Min. utilization: 0.570 
       1    2.126    0.126       11 
       2    3.126    1.126        2 
       3    3.325    1.325        4 
       4  335.590  135.590        6 
       5    7.740    3.740       19 
       6    7.759    3.759       18 
       7    7.825    3.825       23 
       8   69.745   29.745       20 
       9   35.944   15.944       17 
      10   36.992   16.992        7 
      11   37.606   17.606       10 
      12   73.671   33.671       13 
      13   74.774   34.774       14 
      14  369.015  169.015       12 
      15   75.804   35.804       16 
      16  371.699  171.699        5 
      17   76.969   36.969        8 
      18  374.957  174.957       15 
      19  375.311  175.311        3 
      20  375.392  175.392        9 
      21  375.714  175.714       21 
      22 3731.921 1731.921        1 
      23 3731.929 1731.929       22 

Min. utilization: 0.503 
       1    2.059    0.059       12 
       2    3.059    1.059       17 
       3    6.237    2.237        2 
       4  309.211  109.211        8 
       5    7.546    3.546        1 
       6  234.118  117.059        7 
       7   33.935   13.935       15 
       8   34.553   14.553        9 
       9   34.857   14.857       13 
      10  166.380   66.380       10 
      11   69.597   29.597        6 
      12  332.731  132.731        3 
      13  168.712   68.712        5 
      14  333.834  133.834       11 
      15  334.470  134.470        4 
      16  334.597  134.597       16 
      17  334.713  134.713       14 

Min. utilization: 0.558 
       1    4.169    0.169       20 
       2   61.014   21.014        8 
       3    6.511    2.511       24 
       4    6.674    2.674       16 
       5    6.837    2.837        6 
       6   14.511    6.511       21 
       7   66.102   26.102       30 
       8   28.939   13.939       11 
       9   29.399   14.699       34 
      10   10.552    5.276       23 
      11   10.789    5.395       12 
      12   19.651    9.651       13 
      13   38.219   18.219        3 
      14   26.164   13.082        1 
      15   27.249   13.625       14 
      16   28.334   14.167       18 
      17   95.713   47.856       25 
      18  228.144  114.072       10 
      19   57.603   28.801       29 
      20   59.802   29.901        9 
      21   66.460   33.230        5 
      22 5470.901 2735.451       28 
      23  557.636  278.818       19 
      24  297.726  148.863        2 
      25  299.584  149.792       26 
      26  589.792  294.896       27 
      27  591.231  295.616       22 
      28  594.786  297.393       33 
      29  595.119  297.559       17 
      30  596.595  298.297        4 
      31 5819.448 2909.724       32 
      32 5819.459 2909.729       31 
      33 5819.489 2909.744       15 
      34 5819.519 2909.759        7 

Min. utilization: 0.507 
       1    4.110    0.110       29 
       2    6.110    2.110       22 
       3    6.163    2.163       20 
       4 3048.843 1048.843        6 
       5   25.912   10.912       32 
       6 3107.847 1107.847       25 
       7   16.670    6.670       33 
       8   16.809    6.809       10 
       9  157.645   57.645       21 
      10   32.830   12.830       18 
      11  319.232  119.232       16 
      12  124.425   62.212        1 
      13   66.510   26.510       19 
      14   66.757   26.757        9 
      15   67.060   27.060        8 
      16   67.247   27.247        2 
      17   67.281   27.281       31 
      18   67.337   27.337       28 
      19   67.546   27.546       17 
      20  165.570   65.570       30 
      21  165.740   65.740        3 
      22  165.958   65.958       24 
      23  166.180   66.180       34 
      24  166.515   66.515       23 
      25  166.613   66.613       11 
      26  166.678   66.678       27 
      27  330.558  130.558       14 
      28  330.957  130.957        5 
      29 3266.706 1266.706       15 
      30 3266.709 1266.709        7 
      31 3266.715 1266.715        4 
      32 3266.720 1266.720       12 
      33 3266.725 1266.725       26 
      34 3266.730 1266.730       13 

Min. utilization: 0.548 
       1    2.139    0.139        7 
       2    3.139    1.139        8 
       3    3.277    1.277       12 
       4    3.401    1.401       26 
       5 3356.684 1356.684       20 
       6    3.893    1.893        1 
       7  339.718  139.718        2 
       8   17.668    7.668       16 
       9   18.562    8.562       15 
      10   35.898   15.898       32 
      11   37.186   17.186       11 
      12  183.201   83.201        3 
      13   37.920   17.920       29 
      14   39.129   19.129       23 
      15   39.788   19.788       19 
      16  754.886  377.443        5 
      17  755.762  377.881       33 
      18   89.880   44.940       10 
      19   90.586   45.293       25 
